NORAD_CAT_ID,OBJECT_NAME,OBJECT_ID,EPOCH,CREATION_DATE,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SEMIMAJOR_AXIS,PERIOD,BSTAR,DECAY_DATE,TLE_LINE1,TLE_LINE2,ELEMENT_SET_NO
56351,STARLINK-5891,2023-058AL,2026-07-26T01:03:26.251776,2026-07-26T10:36:54,97.2832,205.0536,0.00021469,82.9125,277.2347,15.05652734,6927.640,95.640,-0.00004286591900,,1 56351U 23058AL  26207.04405384 -.00000675  00000-0 -42866-4 0  9993,2 56351  97.2832 205.0536 0002147  82.9125 277.2347 15.05652734179013,999
56352,STARLINK-5885,2023-058AM,2026-07-26T00:01:39.870624,2026-07-26T10:36:54,97.2833,203.8906,0.00019213,90.4212,269.7235,15.05654519,6927.634,95.639,0.00002241427400,,1 56352U 23058AM  26207.00115591  .00000267  00000-0  22414-4 0  9990,2 56352  97.2833 203.8906 0001921  90.4212 269.7235 15.05654519178937,999
56353,STARLINK-5874,2023-058AN,2026-07-26T00:05:39.160608,2026-07-26T10:36:54,97.2845,203.8918,0.00018954,97.8318,262.3125,15.05653950,6927.636,95.640,0.00002654332500,,1 56353U 23058AN  26207.00392547  .00000327  00000-0  26543-4 0  9993,2 56353  97.2845 203.8918 0001895  97.8318 262.3125 15.05653950178937,999
56354,STARLINK-5877,2023-058AP,2026-07-26T06:00:02.999808,2026-07-26T10:36:54,97.2839,205.2187,0.00018133,100.7916,232.1804,15.10529037,6912.722,95.331,0.00060643473000,,1 56354U 23058AP  26207.25003472  .00009944  00000-0  60643-3 0  9999,2 56354  97.2839 205.2187 0001813 100.7916 232.1804 15.10529037  5788,999
56355,STARLINK-5533,2023-058AQ,2026-07-26T06:00:02.999808,2026-07-26T10:36:54,97.5235,210.8676,0.00005700,121.6702,209.7185,15.88573129,6684.420,90.647,0.00190536310000,,1 56355U 23058AQ  26207.25003472  .00562043  00000-0  19054-2 0  9993,2 56355  97.5235 210.8676 0000570 121.6702 209.7185 15.88573129  5835,999
56356,STARLINK-5535,2023-058AR,2026-07-26T05:46:26.476608,2026-07-26T10:36:54,97.2841,205.2473,0.00019598,92.2023,267.9429,15.05724470,6927.420,95.635,0.00063409899000,,1 56356U 23058AR  26207.24058422  .00009123  00000-0  63410-3 0  9999,2 56356  97.2841 205.2473 0001960  92.2023 267.9429 15.05724470179040,999
56357,STARLINK-5538,2023-058AS,2026-07-25T22:35:54.520800,2026-07-26T04:22:28,97.2840,205.0413,0.00011611,55.9363,304.1975,15.05643839,6927.667,95.640,0.00001303149900,,1 56357U 23058AS  26206.94160325  .00000132  00000-0  13031-4 0  9998,2 56357  97.2840 205.0413 0001161  55.9363 304.1975 15.05643839179003,999
56358,STARLINK-5482,2023-058AT,2026-07-26T05:32:38.326560,2026-07-26T10:36:54,97.2839,204.1942,0.00018839,90.8560,269.2883,15.05653000,6927.639,95.640,-0.00001048440300,,1 56358U 23058AT  26207.23099915 -.00000208  00000-0 -10484-4 0  9993,2 56358  97.2839 204.1942 0001884  90.8560 269.2883 15.05653000178973,999
56359,STARLINK-5551,2023-058AU,2026-07-25T22:49:52.878144,2026-07-26T04:22:28,97.2839,203.8118,0.00020487,90.6847,269.4616,15.05659709,6927.618,95.639,0.00000592878600,,1 56359U 23058AU  26206.95130646  .00000029  00000-0  59288-5 0  9994,2 56359  97.2839 203.8118 0002049  90.6847 269.4616 15.05659709178928,999
56360,STARLINK-5549,2023-058AV,2026-07-26T05:30:35.597952,2026-07-26T10:36:54,97.2835,205.2634,0.00022844,87.5698,272.5791,15.05654428,6927.635,95.639,-0.00000617154600,,1 56360U 23058AV  26207.22957868 -.00000145  00000-0 -61715-5 0  9999,2 56360  97.2835 205.2634 0002284  87.5698 272.5791 15.05654428179041,999
