case_id,epoch_s,timestamp_utc,frame,x_truth_m,y_truth_m,z_truth_m,vx_truth_mps,vy_truth_mps,vz_truth_mps,x_phys_m,y_phys_m,z_phys_m,vx_phys_mps,vy_phys_mps,vz_phys_mps,dx_m,dy_m,dz_m,position_error_m,dvx_mps,dvy_mps,dvz_mps,velocity_error_mps,aR_true_mps2,aT_true_mps2,aN_true_mps2,thrust_true_N,spacecraft_mass_kg,is_maneuver
QK1_STK_case_0001,22140.000000,2023-11-25T17:17:00Z,J2000,-1606456.500766992,-2596489.253420705,6069316.807971864,-5171.483347302683,-4574.511238357504,-3311.797974314514,-1612888.065149491,-2602067.940790308,6064523.655923944,-5169.219655847493,-4570.665596787107,-3321.525797283090,6431.564382499,5578.687369603,4793.152047921,9770.418605591,-2.263691455190,-3.845641570397,9.727822968577,10.702513620652,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22200.000000,2023-11-25T17:18:00Z,J2000,-1912851.624167943,-2864838.831722094,5856899.831212586,-5037.809154986660,-4367.076724814711,-3766.075790821987,-1919131.735524647,-2870172.539361109,5851530.564552452,-5035.025401447093,-4362.758765924014,-3775.543201849314,6280.111356704,5333.707639016,5369.266660134,9834.493393089,-2.783753539568,-4.317958890697,9.467411027327,10.771533052967,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22260.000000,2023-11-25T17:19:00Z,J2000,-2210534.546727270,-3120140.351640979,5617731.217125636,-4881.185766376288,-4139.739801645484,-4203.180815641210,-2216632.207411672,-3125201.197355343,5611802.998017104,-4877.889292450728,-4134.965199662338,-4212.336711816115,6097.660684401,5060.845714364,5928.219108531,9896.333005990,-3.296473925559,-4.774601983147,9.155896174905,10.839464894772,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22320.000000,2023-11-25T17:20:00Z,J2000,-2498148.985709725,-3361230.061472053,5352901.493054702,-4702.319261228200,-3893.528493847519,-4621.120600607933,-2504033.724135488,-3365991.183982468,5346434.521322007,-4698.520264854454,-3888.315602232139,-4629.914874210239,5884.738425762,4761.122510415,6466.971732694,9955.910671068,-3.798996373747,-5.212891615380,8.794273602306,10.906230358546,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22380.000000,2023-11-25T17:21:00Z,J2000,-2774384.089046419,-3587008.545624964,5063618.312803974,-4502.017621482444,-3629.558706502453,-5017.985093378506,-2780026.131534526,-3591444.264150929,5056635.756559999,-4497.729168734287,-3623.928510594847,-5026.368971690017,5642.042488107,4435.718525965,6982.556243976,10013.207976442,-4.288452748158,-5.630195907606,8.383878311511,10.971752297305,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22440.000000,2023-11-25T17:22:00Z,J2000,-3037980.481352692,-3796445.871947643,4751201.203648893,-4281.188232039906,-3349.029806073850,-5391.956909086420,-3043350.923279298,-3800531.841155884,4743729.108447729,-4276.426211216972,-3343.005812776292,-5399.883303582254,5370.441926606,4085.969208241,7472.095201165,10068.217198343,-4.762020822935,-6.023993297557,7.926394495835,11.035989637123,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22500.000000,2023-11-25T17:23:00Z,J2000,-3287736.125558800,-3988586.440369441,4417075.713471614,-4040.834334662852,-3053.219211802074,-5741.320949060240,-3292807.098423560,-3992299.797877375,4409142.892134904,-4035.617387218292,-3046.827326982135,-5748.744757267352,5070.972864760,3713.357507933,7932.821336710,10120.940872123,-5.216947444560,-6.391884819940,7.423808207112,11.098903571374,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22560.000000,2023-11-25T17:24:00Z,J2000,-3522511.951229869,-4162553.489732447,4062767.001102653,-3782.050811592820,-2743.476420689451,-6064.473415786694,-3527256.785782906,-4165872.996062440,4054404.905039460,-3776.400249148623,-2736.744803702562,-6071.351840115162,4744.834553037,3319.506329994,8362.096063193,10171.392617563,-5.650562444197,-6.731616986889,6.878424328468,11.160476891083,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22620.000000,2023-11-25T17:25:00Z,J2000,-3741237.204251395,-4317553.227090700,3689892.902564563,-3506.019041265743,-2421.216396408314,-6359.930164128808,-3745630.586721390,-4320459.395451216,3681135.474850042,-3499.958712380652,-2414.175285260012,-6366.222985111051,4393.382469995,2906.168360516,8757.427714521,10219.597068495,-6.060328885091,-7.041111148302,6.292820982241,11.220714251453,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22680.000000,2023-11-25T17:26:00Z,J2000,-3942914.459906902,-4452878.550599051,3300156.532565685,-3214.000938717833,-2087.912776030916,-6626.333782372658,-3946932.580061648,-4455353.766740260,3291040.046065691,-3207.557091155059,-2080.594323621151,-6632.003601318720,4018.120154746,2475.216141209,9116.486499994,10265.588664477,-6.443847562773,-7.318452409765,5.669818946062,11.279617190640,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22740.000000,2023-11-25T17:27:00Z,J2000,-4126624.272851766,-4567912.375162655,2895338.496670053,-2907.332927696410,-1745.091435954092,-6862.459616739531,-4130244.963700036,-4569941.007188438,2885901.377800270,-2900.534062960342,-1737.529535571732,-6867.472084718042,3620.690848270,2028.632025783,9437.118869783,10309.411364244,-6.798864736069,-7.561900382360,5.012467978512,11.337183703535,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22800.000000,2023-11-25T17:28:00Z,J2000,-4291529.476400592,-4662130.577965596,2477288.753007284,-2587.420289623509,-1394.324150980859,-7067.221547072595,-4294732.345002123,-4663699.075211401,2467571.392263812,-2580.297014950895,-1386.554252672795,-7071.545577705883,3202.868601531,1568.497245805,9717.360743473,10351.118331251,-7.123274672614,-7.769898308065,4.324030633288,11.393401717520,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22860.000000,2023-11-25T17:29:00Z,J2000,-4436879.148390692,-4735104.547713098,2047918.121283616,-2255.731598134137,-1037.221620455520,-7239.677986893464,-4439645.697515559,-4736201.528209768,2037962.671107583,-2248.316468515284,-1029.280529421801,-7243.285968345334,2766.549124868,1096.980496670,9955.450176033,10390.772275334,-7.415129618853,-7.941091033719,3.607981451871,11.448257693957,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22920.000000,2023-11-25T17:30:00Z,J2000,-4562012.226056215,-4786503.285876792,1609189.430417242,-1913.792449341447,-675.425504923419,-7379.037831543531,-4564325.965535283,-4787119.610880376,1599039.590852647,-1906.119785404049,-667.351150324071,-7381.905819212097,2313.739479067,616.325003584,10149.839564596,10428.446196537,-7.672663937398,-8.074354599348,2.867987668566,11.501753229804,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,22980.000000,2023-11-25T17:31:00Z,J2000,-4666360.706685361,-4816095.007565643,1163108.328893128,-1563.177874204573,-310.599804548626,-7484.665627595834,-4668207.253606067,-4816223.841823491,1152809.122412140,-1555.283546020373,-302.430996433593,-7486.773512542847,1846.546920706,128.834257848,10299.206480988,10464.224191711,-7.894328184200,-8.168808115033,2.107884947013,11.553918056223,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23040.000000,2023-11-25T17:32:00Z,J2000,-4749452.354363829,-4823748.219542514,711713.825680762,-1205.503519512196,55.577869648879,-7556.085277201660,-4750819.517936727,-4823385.076749206,701311.363245059,-1197.424691133467,63.801680676197,-7557.416894773470,1367.163572898,-363.142793308,10402.462435703,10498.201448324,-8.078828378729,-8.223811027317,1.331617571810,11.604815429103,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23100.000000,2023-11-25T17:33:00Z,J2000,-4810912.861102001,-4809432.280968856,257068.664197868,-842.416536023590,421.424754230410,-7592.981892938958,-4811790.713270449,-4808575.055201304,246609.906798950,-834.191432938906,429.663710104440,-7593.525082798749,877.852168449,-857.225767552,10458.757398918,10530.482741814,-8.225103084684,-8.238955874030,0.543189859791,11.654517144510,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23160.000000,2023-11-25T17:34:00Z,J2000,-4850467.482079558,-4773217.469322436,-198750.369759536,-475.587240700877,785.260982445927,-7595.202318167356,-4850848.414746175,-4771866.452780103,-209217.852655851,-467.254930788805,793.475042378408,-7594.948965127011,380.932666617,-1351.016542333,10467.482896315,10561.181448058,-8.332309912072,-8.214059932481,-0.253353040344,11.703091762789,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
